Date,HomeTeam,AwayTeam,MarketConsensusHome,MarketConsensusDraw,MarketConsensusAway,MarketMarginConsensus,MarketHomeMove,MarketDrawMove,MarketAwayMove,TotalGoalsLine,OverProb,UnderProb,BTTSYesProb,BTTSNoProb,SnapshotCount,LatestSnapshotTime
2026-08-21,Marseille,Strasbourg,0.5725,0.2187,0.2088,6.49,-0.0153,0.0004,0.0049,3.5,0.447,0.553,0.6375,0.3625,11,2026-08-02T07:48:54+00:00
2026-08-22,Angers,Lille,0.1902,0.2485,0.5613,7.32,0.0,0.0,0.0,2.75,0.4293,0.5707,0.4959,0.5041,1,2026-07-07T08:09:43+00:00
2026-08-22,ESTAC Troyes,Paris FC,0.3437,0.2818,0.3746,6.79,0.0034,-0.0068,0.0,2.5,0.5647,0.4353,0.625,0.375,3,2026-07-12T07:46:36+00:00
2026-08-22,Le Havre,Monaco,0.2883,0.2433,0.4684,6.74,0.0,0.0,0.0,2.5,0.5914,0.4086,0.6154,0.3846,1,2026-07-07T08:09:43+00:00
2026-08-22,Le Mans,Brest,0.3805,0.2742,0.3453,7.27,0.0,0.0,0.0067,2.5,0.5347,0.4653,,,20,2026-08-02T07:48:54+00:00
2026-08-22,Le Mans FC,Stade Brest 29,0.3805,0.2742,0.3453,7.27,0.0,0.0,0.0,4.5,0.1618,0.8382,0.589,0.411,2,2026-07-11T07:36:02+00:00
2026-08-22,Lens,Auxerre,0.5828,0.2269,0.1902,6.21,-0.0139,0.0029,0.002,2.5,0.578,0.422,0.5703,0.4297,23,2026-08-02T07:48:54+00:00
2026-08-22,Marseille,Strasbourg,0.5814,0.2163,0.2022,7.49,0.0,0.0,0.0,3.75,0.4016,0.5984,0.6375,0.3625,1,2026-07-07T08:09:43+00:00
2026-08-22,Nice,Lorient,0.4296,0.2694,0.301,6.62,-0.007,-0.0026,0.0034,2.5,0.536,0.464,0.5872,0.4128,26,2026-08-02T07:48:54+00:00
2026-08-22,Racing Club De Lens,Auxerre,0.5862,0.2274,0.1864,7.3,0.004,-0.006,0.0,2.5,0.5817,0.4183,0.5722,0.4278,3,2026-07-12T07:46:36+00:00
2026-08-22,Toulouse,Lyon,0.2811,0.2597,0.4592,6.23,-0.0045,0.0056,-0.0122,2.5,0.5482,0.4518,,,23,2026-08-02T07:48:54+00:00
2026-08-22,Toulouse,Olympique Lyon,0.2784,0.2555,0.4662,7.26,0.0045,-0.0038,0.0,2.5,0.5513,0.4487,0.5855,0.4145,3,2026-07-12T07:46:36+00:00
2026-08-22,Troyes,Paris,0.3479,0.2763,0.3758,6.45,0.0,0.0,0.0,2.5,0.5586,0.4414,,,3,2026-07-09T08:12:54+00:00
2026-08-22,Troyes,Paris FC,0.3473,0.2699,0.3828,6.63,0.0,0.0021,0.0,2.5,0.5575,0.4425,,,20,2026-08-02T07:48:54+00:00
2026-08-23,Angers,LOSC,0.4294,0.5706,,-52.95,-0.002,0.0018,,2.5,0.4831,0.5169,,,6,2026-08-02T07:48:54+00:00
2026-08-23,Angers,Lille,0.1921,0.2484,0.5595,7.35,0.0021,0.0,-0.0018,2.5,0.4837,0.5163,0.4926,0.5074,5,2026-07-12T07:46:36+00:00
2026-08-23,Le Havre,Monaco,0.2849,0.2529,0.4622,6.43,-0.0045,0.0095,-0.0081,2.5,0.5911,0.4089,0.6216,0.3784,11,2026-08-02T07:48:54+00:00
2026-08-23,Paris SG,Rennes,0.6592,0.1978,0.143,7.58,0.0,0.0,0.0,2.5,0.686,0.314,0.6278,0.3722,2,2026-07-11T07:36:02+00:00
2026-08-23,Paris SG,Stade Rennes,0.6754,0.1796,0.1451,6.06,0.002,0.0,0.0,3.5,0.4831,0.5169,,,6,2026-08-02T07:48:54+00:00
